batch_order,id,name,system,website,verify,why_in_batch,instructions_for_this_school,test_policy_now,grid_test_code,plans_now,test_policy_status,plans_status,grid_fee,grid_teacher_recs,grid_counselor_rec,grid_mid_year_report,grid_personal_essay_required,grid_portfolio
1,university-of-pennsylvania,University of Pennsylvania,Private,https://www.upenn.edu,plans,Plans are Common App grid only. Test policy already verified on Penn's page (Test-Required); confirm nothing changed.,"Verify plans only: ED and RD dates on Penn's own first-year deadlines page. Testing: no work needed unless the page now differs from Test-Required. Return status could_not_verify (with the reason) for any value where the page is unavailable, silent, or you cannot tell it applies to Fall 2027 first-year applicants. Every value needs an exact quote, the direct official URL, and the access date.",Test-Required,A,ED (binding): November 1 | RD: January 5,verified on school page,from Common App grid only,$75,1,yes,yes,yes,
2,williams-college,Williams College,Private,https://www.williams.edu,plans,"Plans are Common App grid only. Test policy already verified (Test-Optional). Williams blocks automated tools, so say so if the page will not load.","Verify plans only: ED and RD dates on Williams' own first-year page. Return status could_not_verify (with the reason) for any value where the page is unavailable, silent, or you cannot tell it applies to Fall 2027 first-year applicants. Every value needs an exact quote, the direct official URL, and the access date.",Test-Optional,N,ED (binding): November 15 | RD: January 5,verified on school page,from Common App grid only,$65,2,yes,yes,yes,SlideRoom
3,university-of-san-diego,University of San Diego,Private,https://www.sandiego.edu,plans,Plans are Common App grid only. Test policy already verified (Test-Blind / Test-Free).,"Verify plans only: ED, ED2, EA and RD dates on USD's own first-year page. Return status could_not_verify (with the reason) for any value where the page is unavailable, silent, or you cannot tell it applies to Fall 2027 first-year applicants. Every value needs an exact quote, the direct official URL, and the access date.",Test-Blind,I,ED (binding): November 1 | ED2 (binding): January 5 | EA: November 1 | RD: January 15,verified on school page,from Common App grid only,$75,,yes,yes,yes,
4,massachusetts-institute-of-technology,Massachusetts Institute of Technology,Private,https://www.mit.edu,both,No source for plans or test policy. MIT's plan list is short and should be quick to confirm.,"Verify both. MIT's Early Action is non-binding. Check the test policy carefully: state the exact requirement wording. Return status could_not_verify (with the reason) for any value where the page is unavailable, silent, or you cannot tell it applies to Fall 2027 first-year applicants. Every value needs an exact quote, the direct official URL, and the access date.",Test-Required,,EA: November 1 | RD: January 4,NOT yet verified,NOT sourced,,,,,,
5,university-of-alabama,University of Alabama,Out-of-State Public,https://www.ua.edu,both,Plans field is free text mixing rolling admission with a scholarship/housing priority date (December 4). No source.,"Verify both. If the page describes rolling admission with no final application deadline, return plan type Rolling with deadline null. Never turn a scholarship, honors, housing or financial-aid priority date into an RD or any other admission deadline; put those dates in note only. Our current text calls December 4 a priority deadline for scholarship and housing consideration: keep it in note, not deadline. Return status could_not_verify (with the reason) for any value where the page is unavailable, silent, or you cannot tell it applies to Fall 2027 first-year applicants. Every value needs an exact quote, the direct official URL, and the access date.",Test-Optional,F,Rolling: Applications open August 1; priority deadline for scholarship and housing consideration is December 4,NOT yet verified,NOT sourced,$50,,,,,
6,university-of-pittsburgh,University of Pittsburgh,Out-of-State Public,https://www.pitt.edu,both,Plans field is free text mixing rolling admission with a December 1 priority date for automatic academic-scholarship consideration. No source.,"Verify both. If the page describes rolling admission with no final application deadline, return plan type Rolling with deadline null. Never turn a scholarship, honors, housing or financial-aid priority date into an RD or any other admission deadline; put those dates in note only. Our current text ties December 1 to automatic academic-scholarship consideration: keep it in note, not deadline. Return status could_not_verify (with the reason) for any value where the page is unavailable, silent, or you cannot tell it applies to Fall 2027 first-year applicants. Every value needs an exact quote, the direct official URL, and the access date.",Test-Optional,S,Rolling: Application window opens through July 30; December 1 priority deadline for automatic academic-scholarship consideration,NOT yet verified,NOT sourced,$55,,,,,
7,university-of-michigan,University of Michigan,Out-of-State Public,https://umich.edu,both,"Stored plans include Early Decision (binding) November 1, but I recall Michigan offering only non-binding Early Action (unverified); the plan list is grid-only.","Verify both. Confirm whether Michigan offers any binding early plan at all, and give EA and RD dates. Testing grid code is F (flexible): quote the exact wording. Return status could_not_verify (with the reason) for any value where the page is unavailable, silent, or you cannot tell it applies to Fall 2027 first-year applicants. Every value needs an exact quote, the direct official URL, and the access date.",Test-Optional,F,ED (binding): November 1 | EA: November 1 | RD: February 1,NOT yet verified,from Common App grid only,$75,1,,,yes,SlideRoom
8,university-of-texas-at-austin,University of Texas at Austin,Out-of-State Public,https://www.utexas.edu,both,Large public flagship for the ICP. Stored EA Oct 15 and RD Dec 1 come only from the grid; texas residents vs out-of-state and major-specific dates may differ.,"Verify both. Note any residency- or major-specific dates in note, not deadline. Confirm Test-Required wording. Return status could_not_verify (with the reason) for any value where the page is unavailable, silent, or you cannot tell it applies to Fall 2027 first-year applicants. Every value needs an exact quote, the direct official URL, and the access date.",Test-Required,A,EA: October 15 | RD: December 1,NOT yet verified,from Common App grid only,$75,,,,yes,
9,harvard-university,Harvard University,Private,https://www.harvard.edu,both,Test policy changed several times in recent cycles; stored value comes from the grid only.,"Verify testing for Fall 2027 first-year (with any hardship or international exceptions in note) and REA/RD dates. Return status could_not_verify (with the reason) for any value where the page is unavailable, silent, or you cannot tell it applies to Fall 2027 first-year applicants. Every value needs an exact quote, the direct official URL, and the access date.",Test-Required,A,REA: November 1 | RD: January 1,NOT yet verified,from Common App grid only,$95,2,yes,yes,yes,SlideRoom
10,yale-university,Yale University,Private,https://www.yale.edu,both,"Test policy changed in recent cycles (flexible, then required); stored value comes from the grid only.","Verify testing wording exactly (Yale has used a test-flexible policy) and REA/RD dates. Return status could_not_verify (with the reason) for any value where the page is unavailable, silent, or you cannot tell it applies to Fall 2027 first-year applicants. Every value needs an exact quote, the direct official URL, and the access date.",Test-Required,A,REA: November 1 | RD: January 2,NOT yet verified,from Common App grid only,$85,2,yes,yes,yes,
